Country,Subject Descriptor,Units,Scale,2020,2021,Estimates Start After
Brazil,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"3,153.15","3,437.61",2020
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,12.003,15.686,2020
Brunei Darussalam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,28.696,30.317,2020
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,69.209,77.907,2020
Bulgaria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,164.068,177.697,2020
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,17.378,19.932,2020
Burkina Faso,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,47.592,52.595,2020
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,3.04,3.193,2019
Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,9.047,9.526,2019
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,1.707,1.886,2019
Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3.545,3.82,2019
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,25.192,26.08,2020
Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,73.921,78.065,2020
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,39.938,44.806,2020
Cameroon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,97.878,105.081,2020
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"1,644.04","2,015.98",2020
Canada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,851.54","2,027.37",2020
Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,2.387,2.587,2017
Central African Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.776,4.899,2017
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,10.836,12.345,2017
Chad,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,26.476,27.688,2017
Chile,"Gross domestic product, current prices",U.S. dollars,Billions,252.821,331.25,2020
Chile,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,454.602,522.79,2020
China,"Gross domestic product, current prices",U.S. dollars,Billions,"14,866.74","16,862.98",2020
China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"24,191.30","27,071.96",2020
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,271.554,300.791,2020
Colombia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,729.06,812.799,2020
Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,1.216,1.281,2019
Comoros,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.731,2.875,2019
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,48.707,54.832,2020
Democratic Republic of the Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,102.254,111.09,2020
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,10.329,12.744,2018
Republic of Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,19.894,20.578,2018
Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,61.833,61.46,2020
Costa Rica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,103.946,111.892,2020
Côte d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,61.231,68.845,2017
Côte d'Ivoire,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,144.21,158.306,2017
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,56.171,63.399,2020
Croatia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,113.301,124.779,2020
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,23.785,26.546,2020
Cyprus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,35.526,38.561,2020
Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,245.349,276.914,2019
Czech Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,436.234,469.067,2019
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,356.085,396.666,2020
Denmark,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,344.334,370.299,2020
Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,3.44,3.654,2018
Djibouti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.763,6.269,2018
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,0.544,0.571,2018
Dominica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.876,0.939,2018
Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,78.923,89.502,2020
Dominican Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,194.548,220.748,2020
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,98.808,104.483,2020
Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,192.219,204.713,2020
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,363.245,396.328,2020
Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,290.02","1,381.06",2020
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,24.639,27.665,2020
El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,55.118,62.258,2020
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,10.036,12.528,2020
Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.168,27.156,2020
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,2.084,2.254,2018
Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.455,6.883,2018
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,30.626,36.039,2020
Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,49.559,55.71,2020
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,3.981,4.517,2019
Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,10.189,10.717,2019
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,96.611,92.757,2020
Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,282.569,298.574,2020
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,4.494,4.639,2020
Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,10.826,10.767,2020
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,269.557,296.016,2020
Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,275.195,293.59,2020
France,"Gross domestic product, current prices",U.S. dollars,Billions,"2,624.42","2,940.43",2020
France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"3,016.88","3,322.31",2020
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,15.339,18.293,2019
Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,33.62,35.348,2019
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,1.862,2.042,2020
The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.502,5.977,2020
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,15.891,17.846,2020
Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,55.193,61.58,2020
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"3,843.34","4,230.17",2020
Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"4,536.52","4,843.39",2020
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,68.498,75.487,2019
Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,178.482,193.627,2019
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,189.259,211.645,2020
Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,307.862,339.668,2020
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,1.027,1.083,2019
Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.732,1.843,2019
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,77.603,83.305,2020
Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,149.246,163.128,2020
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,15.388,16.724,2018
Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,37.03,40.349,2018
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,1.434,1.592,2017
Guinea-Bissau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.304,4.607,2017
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,5.471,7.395,2020
Guyana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,15.498,19.333,2020
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,14.508,20.143,2020
Haiti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,35.29,36.306,2020
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,23.828,26.325,2019
Honduras,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,53.681,58.34,2019
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,346.584,369.722,2020
Hong Kong SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,443.141,488.654,2020
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,155.013,180.959,2020
Hungary,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,322.846,359.901,2020
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,21.718,25.476,2020
Iceland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,20.415,21.933,2020
India,"Gross domestic product, current prices",U.S. dollars,Billions,"2,660.24","2,946.06",2021
India,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"8,974.74","10,181.17",2021
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,059.64","1,150.25",2020
Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"3,301.91","3,530.33",2020
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,835.351,"1,081.38",2021
Islamic Republic of Iran,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,120.21","1,189.15",2021
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,169.488,201.472,2020
Iraq,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,399.376,428.859,2020
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,425.549,516.253,2020
Ireland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,479.43,561.456,2020
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,407.101,467.532,2020
Israel,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,380.286,421.807,2020
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"1,884.94","2,120.23",2020
Italy,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"2,461.30","2,697.14",2020
Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,13.967,14.857,2020
Jamaica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,27.353,29.636,2020
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"5,045.10","5,103.11",2020
Japan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"5,312.30","5,633.51",2020
Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,43.759,45.344,2019
Jordan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,105.643,111.681,2019
Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,171.24,194.024,2020
Kazakhstan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,501.207,536.336,2020
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,102.427,109.491,2020
Kenya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,246.14,269.286,2020
Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,0.198,0.232,2019
Kiribati,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.261,0.275,2019
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"1,638.26","1,823.85",2020
Korea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"2,317.18","2,503.40",2020
Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,7.78,8.958,2020
Kosovo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,20.523,22.538,2020
Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,105.949,132.266,2020
Kuwait,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,202.011,211.275,2020
Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,7.747,8.15,2020
Kyrgyz Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,32.629,34.514,2020
Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,18.82,19.375,2020
Lao P.D.R.,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,58.928,62.31,2020
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,33.478,37.199,2020
Latvia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,60.064,65.053,2020
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,19.008,n/a,2019
Lebanon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,78.91,n/a,2019
Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,1.999,2.478,2019
Lesotho,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.41,5.762,2019
Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,3.037,3.384,2016
Liberia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,7.276,7.807,2016
Libya,"Gross domestic product, current prices",U.S. dollars,Billions,19.21,27.3,2014
Libya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,39.147,90.513,2014
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,55.843,62.635,2020
Lithuania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,108.484,117.634,2020
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,73.205,83.771,2020
Luxembourg,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,73.87,80.751,2020
Macao SAR,"Gross domestic product, current prices",U.S. dollars,Billions,24.333,29.223,2020
Macao SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,37.531,46.83,2020
Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,13.179,14.101,2018
Madagascar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,43.227,46.089,2018
Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,11.847,12.15,2019
Malawi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,30.479,32.272,2019
Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,337.008,371.114,2020
Malaysia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,903.704,969.039,2020
Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,3.738,4.573,2020
Maldives,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,7.44,9.162,2020
Mali,"Gross domestic product, current prices",U.S. dollars,Billions,17.491,19.563,2018
Mali,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,47.377,51.059,2018
Malta,"Gross domestic product, current prices",U.S. dollars,Billions,14.899,16.695,2020
Malta,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,22.464,24.602,2020
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,0.244,0.241,2020
Marshall Islands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.211,0.216,2020
Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,8.11,9.164,2018
Mauritania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.069,26.681,2018
Mauritius,"Gross domestic product, current prices",U.S. dollars,Billions,10.921,10.998,2020
Mauritius,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,25.983,28.265,2020
Mexico,"Gross domestic product, current prices",U.S. dollars,Billions,"1,073.92","1,285.52",2020
Mexico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"2,439.47","2,685.25",2020
Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,0.407,0.404,2018
Micronesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.36,0.361,2018
Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,11.912,12.396,2019
Moldova,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.07,36.886,2019
Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,13.137,14.28,2020
Mongolia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,39.664,43.23,2020
Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,4.786,5.494,2020
Montenegro,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,11.994,13.296,2020
Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,114.602,126.035,2020
Morocco,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,276.391,302.765,2020
Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,14.029,15.833,2019
Mozambique,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,40.548,43.041,2019
Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,81.257,66.74,2020
Myanmar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,278.806,237.039,2020
Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,10.71,12.213,2020
Namibia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,23.836,25.022,2020
Nauru,"Gross domestic product, current prices",U.S. dollars,Billions,0.114,0.133,2019
Nauru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.127,0.134,2019
Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,33.983,34.265,2020
Nepal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,116.785,123.175,2020
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,913.134,"1,007.56",2020
Netherlands,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,003.81","1,079.16",2020
New Zealand,"Gross domestic product, current prices",U.S. dollars,Billions,209.384,247.64,2020
New Zealand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,215.899,234.992,2020
Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,12.62,13.397,2020
Nicaragua,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,36.894,40.135,2020
Niger,"Gross domestic product, current prices",U.S. dollars,Billions,13.761,15.637,2020
Niger,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,31.193,34.049,2020
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,429.423,480.482,2020
Nigeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,069.04","1,136.80",2020
North Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,12.288,13.885,2020
North Macedonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.693,37.381,2020
Norway,"Gross domestic product, current prices",U.S. dollars,Billions,362.522,445.507,2020
Norway,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,354.526,378.418,2020
Oman,"Gross domestic product, current prices",U.S. dollars,Billions,63.368,80.611,2020
Oman,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,139.19,147.787,2020
Pakistan,"Gross domestic product, current prices",U.S. dollars,Billions,261.726,n/a,2020
Pakistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,074.84","1,157.48",2020
Palau,"Gross domestic product, current prices",U.S. dollars,Billions,0.257,0.208,2020
Palau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.259,0.215,2020
Panama,"Gross domestic product, current prices",U.S. dollars,Billions,52.938,60.121,2020
Panama,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,115.514,133.979,2020
Papua New Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,23.279,26.461,2019
Papua New Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,33.642,35.278,2019
Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,35.67,36.973,2019
Paraguay,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,93.209,100.913,2019
Peru,"Gross domestic product, current prices",U.S. dollars,Billions,205.458,225.858,2020
Peru,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,397.928,453.652,2020
Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,361.489,385.737,2020
Philippines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,919.293,983.118,2020
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,595.916,655.332,2020
Poland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,296.85","1,412.30",2020
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,228.356,251.709,2020
Portugal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,347.571,376.09,2020
Puerto Rico,"Gross domestic product, current prices",U.S. dollars,Billions,103.138,106.576,2020
Puerto Rico,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,112.663,116.023,2020
Qatar,"Gross domestic product, current prices",U.S. dollars,Billions,145.45,169.184,2020
Qatar,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,259.326,273.903,2020
Romania,"Gross domestic product, current prices",U.S. dollars,Billions,248.716,287.279,2020
Romania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,589.866,653.903,2020
Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,478.57","1,647.57",2020
Russia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"4,100.48","4,447.48",2020
Rwanda,"Gross domestic product, current prices",U.S. dollars,Billions,10.332,10.395,2019
Rwanda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,28.672,31.221,2019
Samoa,"Gross domestic product, current prices",U.S. dollars,Billions,0.812,0.78,2020
Samoa,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.152,1.107,2020
San Marino,"Gross domestic product, current prices",U.S. dollars,Billions,1.554,1.728,2019
San Marino,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.031,2.22,2019
São Tomé and Príncipe,"Gross domestic product, current prices",U.S. dollars,Billions,0.477,0.534,2020
São Tomé and Príncipe,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.928,0.982,2020
Saudi Arabia,"Gross domestic product, current prices",U.S. dollars,Billions,700.118,842.588,2020
Saudi Arabia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,627.75","1,734.23",2020
Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,24.681,27.576,2019
Senegal,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,58.646,63.644,2019
Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,52.96,60.669,2020
Serbia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,132.772,146.552,2020
Seychelles,"Gross domestic product, current prices",U.S. dollars,Billions,1.138,1.288,2020
Seychelles,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.484,2.751,2020
Sierra Leone,"Gross domestic product, current prices",U.S. dollars,Billions,4.202,4.407,2018
Sierra Leone,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,13.78,14.733,2018
